Address, Offset, Name, Disasm, Value
"0x4f8f48", "0xf8f48", "flt_4F8F48", "dd 8.9999998e-1", "8.9999997615814208984375e-1"
"0x4f8f8c", "0xf8f8c", "flt_4F8F8C", "dd 6.4e1", "6.4e1"
"0x4f8f90", "0xf8f90", "flt_4F8F90", "dd -6.4e1", "-6.4e1"
"0x4f8f94", "0xf8f94", "flt_4F8F94", "dd 1.6e1", "1.6e1"
"0x4f9044", "0xf9044", "flt_4F9044", "dd 1.2345679e8", "1.23456792e8"
"0x4f9048", "0xf9048", "flt_4F9048", "dd -3.0e2", "-3.e2"
"0x4f904c", "0xf904c", "flt_4F904C", "dd 3.0e2", "3.e2"
"0x4f9050", "0xf9050", "flt_4F9050", "dd -4.0", "-4."
"0x4f9054", "0xf9054", "flt_4F9054", "dd 4.0", "4."
"0x4f9058", "0xf9058", "flt_4F9058", "dd 1.5259022e-5", "1.52590218931436538696289e-5"
"0x4f905c", "0xf905c", "flt_4F905C", "dd 6.5535e4", "6.5535e4"
"0x4f9060", "0xf9060", "flt_4F9060", "dd 8.0000004e-3", "8.00000037997961044311523e-3"
"0x4f9064", "0xf9064", "flt_4F9064", "dd 5.729578e1", "5.7295780181884765625e1"
"0x4f9068", "0xf9068", "flt_4F9068", "dd 4.0e2", "4.e2"
"0x4f906c", "0xf906c", "flt_4F906C", "dd -2.4999999e-2", "-2.49999985098838806152344e-2"
"0x4f9078", "0xf9078", "flt_4F9078", "dd 7.8539819e-1", "7.85398185253143310546875e-1"
"0x4f907c", "0xf907c", "flt_4F907C", "dd 1.5239999", "1.5239999294281005859375"
"0x4f9080", "0xf9080", "flt_4F9080", "dd 9.7000003e-1", "9.700000286102294921875e-1"
"0x4f9084", "0xf9084", "flt_4F9084", "dd 9.1500006", "9.15000057220458984375"
"0x4f9088", "0xf9088", "flt_4F9088", "dd 4.3000002", "4.30000019073486328125"
"0x4f908c", "0xf908c", "flt_4F908C", "dd -1.4399999e-1", "-1.43999993801116943359375e-1"
"0x4f9090", "0xf9090", "flt_4F9090", "dd 1.6", "1.60000002384185791015625"
"0x4f9094", "0xf9094", "flt_4F9094", "dd 1.9", "1.89999997615814208984375"
"0x4f9098", "0xf9098", "flt_4F9098", "dd 3.7", "3.7000000476837158203125"
"0x4f909c", "0xf909c", "flt_4F909C", "dd -5.5", "-5.5"
"0x4f90a0", "0xf90a0", "flt_4F90A0", "dd 1.8e1", "1.8e1"
"0x4f90a4", "0xf90a4", "flt_4F90A4", "dd -1.8e1", "-1.8e1"
"0x4f90a8", "0xf90a8", "flt_4F90A8", "dd 1.01e1", "1.01000003814697265625e1"
"0x4f90ac", "0xf90ac", "flt_4F90AC", "dd 1.00041e2", "1.000410003662109375e2"
"0x4f90b0", "0xf90b0", "flt_4F90B0", "dd 5.05e1", "5.05e1"
"0x4f90b4", "0xf90b4", "flt_4F90B4", "dd 9.995902e-3", "9.99590195715427398681641e-3"
"0x4f90b8", "0xf90b8", "flt_4F90B8", "dd 9.9999997e-5", "9.99999974737875163555145e-5"
"0x4f90bc", "0xf90bc", "flt_4F90BC", "dd 2.6179938", "2.617993831634521484375"
"0x4f90c0", "0xf90c0", "flt_4F90C0", "dd 3.05e1", "3.05e1"
"0x4f90d0", "0xf90d0", "flt_4F90D0", "dd 1.83e2", "1.83e2"
"0x4f90d4", "0xf90d4", "flt_4F90D4", "dd 3.0500001e-1", "3.05000007152557373046875e-1"
"0x4f90d8", "0xf90d8", "flt_4F90D8", "dd 1.0", "1."
"0x4f90dc", "0xf90dc", "flt_4F90DC", "dd 5.0000001e-2", "5.00000007450580596923828e-2"
"0x4f90e0", "0xf90e0", "flt_4F90E0", "dd 6.4051003", "6.405100345611572265625"
"0x4f90e4", "0xf90e4", "flt_4F90E4", "dd 5.9960419e-1", "5.99604189395904541015625e-1"
"0x4f90e8", "0xf90e8", "flt_4F90E8", "dd 1.5e4", "1.5e4"
"0x4f90ec", "0xf90ec", "flt_4F90EC", "dd 5.0", "5."
"0x4f90f0", "0xf90f0", "flt_4F90F0", "dd 7.4166663e2", "7.416666259765625e2"
"0x4f90f4", "0xf90f4", "flt_4F90F4", "dd -2.0e3", "-2.e3"
"0x4f90f8", "0xf90f8", "flt_4F90F8", "dd 1.2e4", "1.2e4"
"0x4f9160", "0xf9160", "flt_4F9160", "dd 9.9000001e-1", "9.900000095367431640625e-1"
"0x4f9164", "0xf9164", "flt_4F9164", "dd 2.4999999e-3", "2.49999994412064552307129e-3"
"0x4f9168", "0xf9168", "flt_4F9168", "dd 1.0000001e-2", "1.00000007078051567077637e-2"
"0x4f916c", "0xf916c", "flt_4F916C", "dd 2.6966294e-3", "2.69662938080728054046631e-3"
"0x4f9170", "0xf9170", "flt_4F9170", "dd 3.6000001e-1", "3.6000001430511474609375e-1"
"0x4f9174", "0xf9174", "flt_4F9174", "dd 4.8000002e-1", "4.80000019073486328125e-1"
"0x4f9178", "0xf9178", "flt_4F9178", "dd 1.3", "1.2999999523162841796875"
"0x4f917c", "0xf917c", "flt_4F917C", "dd 2.5000001e-5", "2.50000011874362826347351e-5"
"0x4f9180", "0xf9180", "flt_4F9180", "dd 6.0e3", "6.e3"
"0x4f9184", "0xf9184", "flt_4F9184", "dd -5.0000002e-4", "-5.00000023748725652694702e-4"
"0x4f9188", "0xf9188", "flt_4F9188", "dd 1.8000002e2", "1.800000152587890625e2"
"0x4f918c", "0xf918c", "flt_4F918C", "dd 8.3333332e-5", "8.33333324408158659934998e-5"
"0x4f9190", "0xf9190", "flt_4F9190", "dd 1.2e3", "1.2e3"
"0x4f9194", "0xf9194", "flt_4F9194", "dd 1.6666667e-3", "1.6666667070239782333374e-3"
"0x4f9198", "0xf9198", "flt_4F9198", "dd 6.0000005", "6.000000476837158203125"
"0x4f919c", "0xf919c", "flt_4F919C", "dd 5.0000002e-5", "5.00000023748725652694702e-5"
"0x4f91a0", "0xf91a0", "flt_4F91A0", "dd 6.0e2", "6.e2"
"0x4f91a4", "0xf91a4", "flt_4F91A4", "dd 7.1499999e-6", "7.14999987394548952579498e-6"
"0x4f91a8", "0xf91a8", "flt_4F91A8", "dd 3.3333334e-5", "3.33333337039221078157425e-5"
"0x4f91ac", "0xf91ac", "flt_4F91AC", "dd -2.0e-1", "-2.00000002980232238769531e-1"
"0x4f91b0", "0xf91b0", "flt_4F91B0", "dd -6.0e3", "-6.e3"
"0x4f91b4", "0xf91b4", "flt_4F91B4", "dd 1.599e1", "1.59899997711181640625e1"
"0x4f91b8", "0xf91b8", "flt_4F91B8", "dd 2.9999999e-2", "2.99999993294477462768555e-2"
"0x4f91bc", "0xf91bc", "flt_4F91BC", "dd 7.4999998e-6", "7.49999981053406372666359e-6"
"0x4f91c0", "0xf91c0", "flt_4F91C0", "dd 6.666667e3", "6.6666669921875e3"
"0x4f91c4", "0xf91c4", "flt_4F91C4", "dd 1.08e-4", "1.08000000182073563337326e-4"
"0x4f91c8", "0xf91c8", "flt_4F91C8", "dd 2.2500001e-6", "2.25000007958442438393831e-6"
"0x4f91cc", "0xf91cc", "flt_4F91CC", "dd 1.6000001e-1", "1.60000011324882507324219e-1"
"0x4f91d0", "0xf91d0", "flt_4F91D0", "dd 1.638e-5", "1.63799995789304375648499e-5"
"0x4f91d4", "0xf91d4", "flt_4F91D4", "dd 4.9999999e-5", "4.99999987368937581777573e-5"
"0x4f91d8", "0xf91d8", "flt_4F91D8", "dd 3.9215689e-3", "3.92156885936856269836426e-3"
"0x4f91dc", "0xf91dc", "flt_4F91DC", "dd 6.0960001e-1", "6.09600007534027099609375e-1"
"0x4f91e0", "0xf91e0", "flt_4F91E0", "dd 2.5400001e-1", "2.54000008106231689453125e-1"
"0x4f91e4", "0xf91e4", "flt_4F91E4", "dd 9.3979996e-1", "9.39799964427947998046875e-1"
"0x4f91e8", "0xf91e8", "flt_4F91E8", "dd 3.0e3", "3.e3"
"0x4f91ec", "0xf91ec", "flt_4F91EC", "dd -1.0e3", "-1.e3"
"0x4f91f0", "0xf91f0", "flt_4F91F0", "dd -5.0e3", "-5.e3"
"0x4f91f4", "0xf91f4", "flt_4F91F4", "dd -5.0", "-5."
"0x4f91f8", "0xf91f8", "flt_4F91F8", "dd 9.0000004e-2", "9.00000035762786865234375e-2"
"0x4f91fc", "0xf91fc", "flt_4F91FC", "dd 3.3333333", "3.3333332538604736328125"
"0x4f9200", "0xf9200", "flt_4F9200", "dd 1.575e-1", "1.57499998807907104492188e-1"
"0x4f9204", "0xf9204", "flt_4F9204", "dd 4.2999187e-1", "4.29991871118545532226562e-1"
"0x4f9208", "0xf9208", "flt_4F9208", "dd 9.06699e-1", "9.06699001789093017578125e-1"
"0x4f920c", "0xf920c", "flt_4F920C", "dd 2.225e4", "2.225e4"
"0x4f9210", "0xf9210", "flt_4F9210", "dd -1.7100321e1", "-1.71003208160400390625e1"
"0x4f9214", "0xf9214", "flt_4F9214", "dd 2.2222221e1", "2.222222137451171875e1"
"0x4f9218", "0xf9218", "flt_4F9218", "dd 7.0e1", "7.e1"
"0x4f921c", "0xf921c", "flt_4F921C", "dd 1.4285714e-2", "1.4285714365541934967041e-2"
"0x4f9220", "0xf9220", "flt_4F9220", "dd -1.6e4", "-1.6e4"
"0x4f9224", "0xf9224", "flt_4F9224", "dd 1.6e4", "1.6e4"
"0x4f9228", "0xf9228", "flt_4F9228", "dd 3.5e4", "3.5e4"
"0x4f922c", "0xf922c", "flt_4F922C", "dd 1.2e3", "1.2e3"
"0x4f9230", "0xf9230", "flt_4F9230", "dd 2.0000001e-3", "2.00000009499490261077881e-3"
"0x4f9234", "0xf9234", "flt_4F9234", "dd 5.0000012e-2", "5.0000011920928955078125e-2"
"0x4f9238", "0xf9238", "flt_4F9238", "dd 1.9999999e-1", "1.99999988079071044921875e-1"
"0x4f923c", "0xf923c", "flt_4F923C", "dd 1.1", "1.10000002384185791015625"
"0x4f9240", "0xf9240", "flt_4F9240", "dd 9.0000004e-2", "9.00000035762786865234375e-2"
"0x4f9244", "0xf9244", "flt_4F9244", "dd 1.5552939e3", "1.5552939453125e3"
"0x4f9250", "0xf9250", "flt_4F9250", "dd 1.0193679e-1", "1.01936794817447662353516e-1"
"0x4f9254", "0xf9254", "flt_4F9254", "dd 2.816016", "2.8160159587860107421875"
"0x4f9258", "0xf9258", "flt_4F9258", "dd 2.3936136", "2.3936135768890380859375"
"0x4f925c", "0xf925c", "flt_4F925C", "dd 4.0e3", "4.e3"
"0x4f9260", "0xf9260", "flt_4F9260", "dd 8.9999998e-1", "8.9999997615814208984375e-1"
"0x4f9264", "0xf9264", "flt_4F9264", "dd 5.7600003e-1", "5.76000034809112548828125e-1"
"0x4f9268", "0xf9268", "flt_4F9268", "dd 1.4400001e-2", "1.44000006839632987976074e-2"
"0x4f9278", "0xf9278", "flt_4F9278", "dd 4.8000002e-3", "4.80000022798776626586914e-3"
